date,scenario,package_volume,network_capacity,on_time_rate,exceptions,labor_hours,cost_per_package
2025-10-01,NORMAL,82000,95000,0.972,180,980,4.62
2025-10-02,NORMAL,83500,95000,0.969,195,990,4.64
2025-10-03,NORMAL,84500,95000,0.971,170,1005,4.61
2025-10-04,PEAK,99000,102000,0.958,260,1210,4.98
2025-10-05,PEAK,101500,102000,0.955,285,1235,5.05
2025-10-06,DISRUPTION,91000,97000,0.936,420,1180,5.40
2025-10-07,DISRUPTION,93500,97000,0.932,460,1205,5.55
2025-10-08,NORMAL,86000,95000,0.968,210,1020,4.70
2025-10-09,NORMAL,87200,95000,0.970,205,1015,4.68
2025-10-10,LABOR_SHORTAGE,88000,95000,0.946,310,1220,5.15
2025-10-11,LABOR_SHORTAGE,89000,95000,0.942,335,1250,5.22
2025-10-12,NORMAL,85500,95000,0.971,190,1000,4.66
2025-10-13,NORMAL,86500,95000,0.973,175,995,4.63
2025-10-14,PEAK,99500,102000,0.959,255,1195,5.01
2025-10-15,DISRUPTION,92500,97000,0.934,445,1190,5.48
2025-10-16,NORMAL,84800,95000,0.970,200,1008,4.69
2025-10-17,NORMAL,85800,95000,0.972,185,1002,4.65
2025-10-18,PEAK,100200,102000,0.957,275,1225,5.06
2025-10-19,DISRUPTION,94000,97000,0.931,470,1215,5.60
2025-10-20,NORMAL,86200,95000,0.969,205,1010,4.71
